review,sentiment
"This movie was absolutely fantastic and I loved every minute of it",1
"A complete waste of time and money do not watch this film",0
"The acting was great but the plot was a bit predictable still enjoyed it",1
"Terrible film with horrible writing and awful direction avoid at all costs",0
"One of the best movies I have seen this year the cinematography was stunning",1
"Boring and slow with no real story to speak of just terrible",0
"Really enjoyed this film the characters were well developed and engaging",1
"Awful just awful I want my money back what a disaster",0
"Great performances from the entire cast especially the lead actor",1
"Disappointing ending ruined what could have been a decent movie",0
"Beautifully shot film with an incredible soundtrack highly recommended",1
"Worst movie of the year complete garbage nothing redeeming about it",0
"A heartwarming story that kept me engaged from start to finish",1
"So bad I walked out of the theater halfway through never done that before",0
"The special effects were amazing and the story was compelling great film",1
"Dull uninspired and completely forgettable waste of two hours",0
"Brilliant direction and a screenplay that keeps you guessing until the end",1
"I cannot believe how bad this movie was everything about it was wrong",0
"A masterpiece of modern cinema that will be remembered for years to come",1
"Pathetic attempt at film making with zero entertainment value whatsoever",0
"Loved the unexpected plot twists and the chemistry between the leads",1
"This film had so much potential but fell completely flat so disappointed",0
"An emotional rollercoaster that had me in tears by the end brilliant",1
"The dialogue was so bad it sounded like it was written by a child",0
"Excellent film making at its finest truly a work of art",1
