message,is_spam
"Hey are you free for lunch tomorrow at the usual place",0
"CONGRATULATIONS You have won a free iPhone click here to claim now",1
"Can you send me the report by end of day thanks",0
"URGENT Your account has been compromised verify your details immediately",1
"Meeting rescheduled to 3pm please update your calendar accordingly",0
"Make money fast from home earn 5000 per week guaranteed limited offer",1
"Happy birthday hope you have a wonderful day filled with joy",0
"FREE trial of our amazing weight loss supplement act now while supplies last",1
"Just finished the project presentation went better than expected",0
"You have been selected for an exclusive investment opportunity earn 20 percent monthly returns",1
"Dont forget to pick up groceries on your way home milk bread eggs",0
"Hot singles in your area are waiting to meet you join our dating site free",1
"The quarterly results are attached please review and provide feedback",0
"CLAIM YOUR PRIZE You are the lucky winner of our 1000000 lottery",1
"Thanks for your help with the move really appreciate it",0
"Lose 20 pounds in just 2 weeks with this revolutionary new diet pill",1
"Team standup at 10am tomorrow please be on time",0
"YOUR COMPUTER IS INFECTED download our antivirus software now to protect your data",1
"Can we catch up over coffee sometime this week",0
"Increase your size and performance with our natural enhancement formula",1
"The client loved our proposal great work everyone",0
"Limited time offer buy one get one free on all luxury watches",1
"Please submit your timesheet by Friday so payroll can process it",0
"You wont believe what this celebrity did shocking photos inside click to see",1
"Running late for dinner will be there in about 20 minutes",0
